"","session_id","dPlt","sex","age","orgn"
"384",9859308,"1","m",35,"at"
"385",9855706,"-2","m",24,"us"
"386",9855732,"-3","m",46,"no"
"387",9855754,"0","f",32,"uk"
"388",9855786,,"f",55,"uk"
"389",9855837,"3","f",52,"uk"
"390",9855774,"1","m",54,"us"
"391",9855762,"0","f",30,"za"
"392",9859436,,"f",33,"us"
"393",9855833,"3","m",30,"uk"
"394",9855867,"3","f",51,"uk"
"395",9855887,"0","f",45,"tw"
"396",9855925,"-2","m",44,"us"
"397",9855911,"3","f",28,"uk"
"398",9855918,"2","m",35,"us"
"399",9856042,"0","m",19,"lt"
"400",9855973,"0","f",38,"uk"
"401",9855977,"2","f",39,"ca"
"402",9855981,"2","f",62,"uk"
"403",9855979,"3","m",41,"uk"
"404",9857729,"0","m",53,"us"
"405",9856056,"0","f",54,"us"
"406",9856081,"0","f",37,"us"
"407",9856031,"0","m",58,"us"
"408",9856089,"-2","m",42,"us"
"409",9856040,"2","f",49,"uk"
"410",9856132,"-1","f",24,"us"
"411",9856068,,"m",33,"us"
"412",9856069,"0","m",41,"us"
"413",9872821,"3","f",58,"us"
"414",9856275,"3","m",37,"us"
"415",9856191,"0","m",27,"tw"
"416",9856136,"2","m",36,"uk"
"417",9856329,"0","f",52,"us"
"418",9856202,,"f",55,"uk"
"419",9856217,"3","m",24,"bd"
"420",9856220,"2","m",30,"us"
"421",9856236,"3","f",72,"uk"
"422",9856261,"0","f",52,"us"
"423",9856320,"3","f",62,"uk"
"424",9856315,"2","m",32,"il"
"425",9858147,"0","f",58,"us"
"426",9856280,"0","f",25,"us"
"427",9858083,"0","f",49,"us"
"428",9856327,"0","m",52,"us"
"429",9856336,"2","f",41,"us"
"430",9856382,"2","f",49,"us"
"431",9856434,"2","f",46,"us"
"432",9856516,"2","f",19,"us"
"433",9856536,"0","f",49,"us"
"434",9856445,"3","m",47,"us"
"435",9856460,"2","m",67,"us"
"436",9856478,"0","m",29,"us"
"437",9856472,,"m",36,
"438",9856486,"0","f",20,"us"
"439",9856575,"-2","f",43,"ca"
"440",9856537,"2","f",38,"us"
"441",9856551,"3","f",40,"uk"
"442",9856566,"3","f",40,"us"
"443",9856548,,"m",28,"ca"
"444",9856580,"2","m",29,"us"
"445",9856569,,"m",55,"fr"
"446",9856564,,,40,
"447",9856594,"2","f",35,"nz"
"448",9856629,"0","f",30,"us"
"449",9856681,"3","f",29,"us"
"450",9856647,"0","f",59,"us"
"451",9856851,"0","f",39,"us"
"452",9858784,"2","f",42,"us"
"453",9856707,"0","f",33,"us"
"454",9856891,"2","f",46,"bg"
"455",9856770,"3","f",29,"pl"
"456",9856781,"3","f",55,"de"
"457",9856776,"1","m",36,"us"
"458",9856825,"0","f",27,"us"
"459",9856857,,"m",20,"us"
"460",9856872,"2","f",38,"nz"
"461",9856878,"-1","f",32,"us"
"462",9856893,"3","m",59,"us"
"463",9856929,,"m",24,"kr"
"464",9856974,"0","m",31,"us"
"465",9856910,"2","f",24,"us"
"466",9856932,"3","f",26,"us"
"467",9864979,"1","f",34,"us"
"468",9856939,"3","f",46,"us"
"469",9856972,"0","f",37,"us"
"470",9856978,"3","f",46,"us"
"471",9856982,"2","f",41,"us"
"472",9863585,"0","m",39,"us"
"473",9857120,"2","m",32,"us"
"474",9857089,"1","m",29,"uk"
"475",9857107,"2","m",19,"fi"
"476",9857779,"0","m",56,"us"
"477",9860148,"1","f",49,"co"
"478",9857198,,"f",24,"us"
"479",9857203,"2","m",42,"us"
"480",9857255,"2","f",81,"us"
"481",9862962,"0","f",31,"us"
"482",9857263,"0","f",41,"au"
"483",9857265,"1","f",20,"kw"
"484",9857286,"1","m",35,"ca"
"485",9857295,"-1","f",31,"nz"
"486",9857396,"0","f",47,"us"
"487",9857352,"2","f",32,"au"
"488",9857351,"2","m",50,"uk"
"489",9857414,"0","m",49,"cn"
"490",9857365,"3","m",36,"us"
"491",9857385,"1","m",23,"ph"
"492",9857461,"2","f",34,"us"
"493",9857419,"2","m",47,"us"
"494",9857422,"2","f",42,"us"
"495",9857481,"-2","f",44,"ke"
"496",9857436,"0","m",19,"us"
"497",9857477,"3","f",16,"us"
"498",9857448,"0","f",42,"au"
"499",9857473,"2","f",43,"us"
"500",9857540,"3","f",50,"us"
"501",9857544,"2","f",31,"us"
"502",9857567,"2","f",23,"kr"
"503",9857597,"-1","f",48,"ie"
"504",9857602,"-1","m",62,"uk"
"505",9857617,"-1","m",55,"uk"
"506",9857655,"-1","m",46,"uk"
"507",9857652,,,32,
"508",9857665,,"f",44,"fr"
"509",9857688,"-2","m",28,"nl"
"510",9857715,,"f",56,"us"
"511",9857770,"2","f",53,"ca"
"512",9857767,"0","m",35,"us"
"513",9860908,"2","f",28,"zm"
"514",9858328,"2","f",20,"us"
"515",9857807,"2","f",38,"ca"
"516",9857803,"-2","m",49,"uk"
"517",9857831,"0","f",48,"uk"
"518",9857849,"0","f",31,"de"
"519",9857890,"0","m",62,"us"
"520",9861025,"0","m",24,"us"
"521",9857864,"2","f",48,"us"
"522",9857874,"3","f",61,"us"
"523",9858018,"2","m",24,"us"
"524",9858002,"3","f",47,"us"
"525",9857964,"0","m",25,"us"
"526",9857959,"3","m",39,"us"
"527",9857962,"1","f",26,"uk"
"528",9857991,"0","f",24,"us"
"529",9858024,"0","f",18,"us"
"530",9858029,"0","f",55,"us"
"531",9858054,"3","f",42,"us"
"532",9858052,"1","m",24,"mx"
"533",9858142,,"m",22,"us"
"534",9858057,"2","f",32,"us"
"535",9858120,"2","f",27,"us"
"536",9858082,"-2","f",30,"us"
"537",9858087,"3","f",35,"us"
